dataset	tissue	cluster	hgnc	species_id	module	log2fc
tabib2021	skin	endothelial_vascular	PRPF38A			-0.348
tabib2021	skin	endothelial_vascular	MAGOH			0.285
tabib2021	skin	endothelial_vascular	ADGRL2			0.827
tabib2021	skin	endothelial_vascular	GNG5			0.437
tabib2021	skin	endothelial_vascular	MCOLN3			-3.215
tabib2021	skin	endothelial_vascular	RBMXL1			-0.554
tabib2021	skin	endothelial_vascular	DNTTIP2			-0.629
tabib2021	skin	endothelial_vascular	VAV3			1.300
tabib2021	skin	endothelial_vascular	CSF1			-0.581
tabib2021	skin	endothelial_vascular	LAMTOR5			0.343
tabib2021	skin	endothelial_vascular	PHTF1			0.640
tabib2021	skin	endothelial_vascular	NRAS			0.460
tabib2021	skin	endothelial_vascular	SIKE1			0.404
tabib2021	skin	endothelial_vascular	FAM72D			-1.018
tabib2021	skin	endothelial_vascular	PLEKHO1			0.613
tabib2021	skin	endothelial_vascular	C1orf54			1.066
tabib2021	skin	endothelial_vascular	MRPS21			0.361
tabib2021	skin	endothelial_vascular	PIP5K1A			0.486
tabib2021	skin	endothelial_vascular	SELENBP1			-0.737
tabib2021	skin	endothelial_vascular	OAZ3			1.985
tabib2021	skin	endothelial_vascular	S100A11			0.543
tabib2021	skin	endothelial_vascular	AL358472.4			-1.044
tabib2021	skin	endothelial_vascular	TPM3			0.405
tabib2021	skin	endothelial_vascular	SHC1			0.649
tabib2021	skin	endothelial_vascular	LAMTOR2			0.658
tabib2021	skin	endothelial_vascular	GLMP			0.568
tabib2021	skin	endothelial_vascular	DUSP23			0.627
tabib2021	skin	endothelial_vascular	TAGLN2			0.417
tabib2021	skin	endothelial_vascular	VANGL2			-1.073
tabib2021	skin	endothelial_vascular	FMO2			-1.870
tabib2021	skin	endothelial_vascular	FMO1			-1.892
tabib2021	skin	endothelial_vascular	GLUL			-0.746
tabib2021	skin	endothelial_vascular	LAMC1			0.554
tabib2021	skin	endothelial_vascular	RGL1			0.783
tabib2021	skin	endothelial_vascular	FAM129A			0.757
tabib2021	skin	endothelial_vascular	IVNS1ABP			0.584
tabib2021	skin	endothelial_vascular	CFHR1			3.468
tabib2021	skin	endothelial_vascular	DDX59			-0.690
