rank	hub_species	module	hub_score	hgnc_symbol	drug	approved	interaction_types	sources	score	ssc_context
1	SMAD3p_SMAD4__nuc	M2	11.1019	SMAD4	LYSINE	yes		CIViC	5.220379855888553	
1	SMAD3p_SMAD4__nuc	M2	11.1019	SMAD4	RECOMBINANT TRANSFORMING GROWTH FACTOR	no		NCI	0.9491599737979188	
1	SMAD3p_SMAD4__nuc	M2	11.1019	SMAD4	CETUXIMAB	yes		CIViC	0.2821826949128947	
1	SMAD3p_SMAD4__nuc	M2	11.1019	SMAD4	GEMCITABINE	yes		CIViC	0.1134865186062729	
1	SMAD3p_SMAD4__nuc	M2	11.1019	SMAD4	FLUOROURACIL	yes		CIViC	0.0900065492394578	
2	NICD1__cyto	M3	9.3053	NICD1						
3	ISGF3_bound_to_ISRE_promotor_elements__nuc	M1	9.2811	ISGF3						
6	TGFB1__ext	M2	8.9575	TGFB1	DISITERTIDE	no		TTD	1.769620290131712	
6	TGFB1__ext	M2	8.9575	TGFB1	IDOXURIDINE	yes		NCI	1.769620290131712	
6	TGFB1__ext	M2	8.9575	TGFB1	FRESOLIMUMAB	no	antibody	TALC	0.8848101450658564	anti-TGFb1/2/3 — SSc skin trial
6	TGFB1__ext	M2	8.9575	TGFB1	NISEVOKITUG	no		TTD	0.8848101450658564	
6	TGFB1__ext	M2	8.9575	TGFB1	SANDOSTATIN	no		NCI	0.8848101450658564	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.2046	TGFB1	DISITERTIDE	no		TTD	1.769620290131712	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.2046	TGFB1	IDOXURIDINE	yes		NCI	1.769620290131712	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.2046	TGFB1	FRESOLIMUMAB	no	antibody	TALC	0.8848101450658564	anti-TGFb1/2/3 — SSc skin trial
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.2046	TGFB1	NISEVOKITUG	no		TTD	0.8848101450658564	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.2046	TGFB1	SANDOSTATIN	no		NCI	0.8848101450658564	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.2046	TGFBR2	HESPERETIN	yes		DTC	5.800422062098392	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.2046	TGFBR2	IRINOTECAN HYDROCHLORIDE	yes		PharmGKB	0.8286317231569131	
8	SNAI2__nuc	ssc_tier1	6.6994	SNAI2						
9	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.6704	TGFB1	DISITERTIDE	no		TTD	1.769620290131712	
9	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.6704	TGFB1	IDOXURIDINE	yes		NCI	1.769620290131712	
9	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.6704	TGFB1	FRESOLIMUMAB	no	antibody	TALC	0.8848101450658564	anti-TGFb1/2/3 — SSc skin trial
9	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.6704	TGFB1	NISEVOKITUG	no		TTD	0.8848101450658564	
