species_id	hgnc_symbol	uniprot	ensembl	chebi	compartment	module	taxonomy	notes
IFNAR2_x_JAK1_x_STAT2_x_JAK1_2_space_inhibitors__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNAR2:JAK1:STAT2:JAK1,2_space_inhibitors
JAK1_2_space_inhibitors__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: JAK1,2_space_inhibitors
IFIT5__cyto	IFIT5				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFIT5
IFNAR2_x_JAK1_x_STAT2_x_type_space_1_space_interferon_space_analogs__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNAR2:JAK1:STAT2:type_space_1_space_interferon_space_analogs
type_space_1_space_interferon_space_analogs__def					default	M1	9606	imported from pilot_R-HSA-909733; raw name: type_space_1_space_interferon_space_analogs
p_minus_STAT1_space_dimer_space_ISGF3__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_STAT1_space_dimer,_space_ISGF3
ISGF3_x_KPNA1_x_KPNB1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: ISGF3:KPNA1:KPNB1
STAT1_STAT2_x_N__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: STAT1,STAT2:N
p_minus_STAT1_space_dimer_x_KPNA1_x_KPNB1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_STAT1_space_dimer:KPNA1:KPNB1
p_minus_STAT1_space_dimer_x_KPNA1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_STAT1_space_dimer:KPNA1
p_minus_Y701_minus_STAT1_x_KPNA1_x_KPNB1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_Y701_minus_STAT1:KPNA1:KPNB1
Class_space_I_space_MHC_space_heavy_space_chain_space_MHC_space_HC__endoplas					endoplasmic_space_reticulum_space_lumen	M1	9606	imported from pilot_R-HSA-909733; raw name: Class_space_I_space_MHC_space_heavy_space_chain_space_(MHC_space_HC)
multiubiquitinated_space_STAT2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: multiubiquitinated_space_STAT2
IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2_x_IFNAR1_x_TYK2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2:IFNAR1:TYK2
