Target,Rule,Relation1,Identifier1,Notes1
"""p-Y701-STAT1-1_space_dimer_complex""","""STAT1-1""&ATP_simple_molecule&""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""",isDescribedBy,,
"""p-Y701-STAT1_space_dimer_complex""","""p-Y701-STAT1:KPNA1:KPNB1_complex""",isDescribedBy,,
ISGF3_complex_nucleus,"""ISGF3:KPNA1:KPNB1_complex""",isDescribedBy,,
"""IFNA/B:IFNAR2:JAK1:STAT2_complex""","""IFN_space_alpha/beta_space_(IFNA/B)_unknown""&""IFNAR2:JAK1:STAT2_complex""&""IFNAR2:JAK1:STAT2:type_space_1_space_interferon_space_analogs_complex""&!""IFNAR2:JAK1:STAT2:JAK1,2_space_inhibitors_complex""",isDescribedBy,,
ISG15,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFIT1,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFI6,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFIT3,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFI35,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IFNAR1:TYK2:TYK2_space_inhibitors_complex""","TYK2_space_inhibitors_unknown&""IFNAR1:TYK2_complex""",isDescribedBy,,
"""IFNAR2:JAK1:STAT2:JAK1,2_space_inhibitors_complex""","""IFNAR2:JAK1:STAT2_complex""&""JAK1,2_space_inhibitors_unknown""",isDescribedBy,,
IFIT5,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IFNAR2:JAK1:STAT2:type_space_1_space_interferon_space_analogs_complex""","type_space_1_space_interferon_space_analogs_unknown&""IFNAR2:JAK1:STAT2_complex""",isDescribedBy,,
"""p-STAT1_space_dimer:KPNA1:KPNB1_unknown""","""p-STAT1_space_dimer:KPNA1_unknown""&KPNB1_cytosol",isDescribedBy,,
"""p-STAT1_space_dimer:KPNA1_unknown""","""p-STAT1_space_dimer,_space_ISGF3_unknown""&KPNA1_cytosol",isDescribedBy,,
"""Class_space_I_space_MHC_space_heavy_space_chain_space_(MHC_space_HC)_unknown""","""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:TYK2_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&H2O_simple_molecule&PTPN1",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:STAT1_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""&H2O_simple_molecule&PTPN11",isDescribedBy,,
