Name,Relation1,Identifier1,Constant,InitialLevel,MaxLevel,Notes1,Comments
IFNAR2:JAK1:STAT2_complex,isDescribedBy,,True,,1,module=M1CaSQ-computed function: IFNAR2:JAK1:STAT2_complex,entityVertex_918193_3 IFNAR2_JAK1_STAT2__cyto
IFNA/B:IFNAR2:JAK1:STAT2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFN_space_alpha/beta_space_(IFNA/B)_unknown""&""IFNAR2:JAK1:STAT2_complex""&""IFNAR2:JAK1:STAT2:type_space_1_space_interferon_space_analogs_complex""&!""IFNAR2:JAK1:STAT2:JAK1,2_space_inhibitors_complex""",entityVertex_918195_4 IFNA_B_IFNAR2_JAK1_STAT2__cyto
ISG15,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_936552_180 ISG15__cyto
IFIT1,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_937341_179 IFIT1__cyto
IFI6,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_947487_185 IFI6__cyto
IFIT3,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_947491_178 IFIT3__cyto
IFI35,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_947492_189 IFI35__cyto
TYK2_space_inhibitors_unknown,isDescribedBy,,True,,1,module=M1CaSQ-computed function: TYK2_space_inhibitors_unknown,entityVertex_9678619_575 TYK2_inhibitors__cyto
IFNAR1:TYK2:TYK2_space_inhibitors_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: TYK2_space_inhibitors_unknown&""IFNAR1:TYK2_complex""",entityVertex_9678695_577 IFNAR1_TYK2_TYK2_inhibitors__cyto
"IFNAR2:JAK1:STAT2:JAK1,2_space_inhibitors_complex",isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNAR2:JAK1:STAT2_complex""&""JAK1,2_space_inhibitors_unknown""",entityVertex_9678951_557 IFNAR2_JAK1_STAT2_JAK1_2_inhibitors__cyto
"JAK1,2_space_inhibitors_unknown",isDescribedBy,,True,,1,"module=M1CaSQ-computed function: JAK1,2_space_inhibitors_unknown",entityVertex_9678984_556 JAK1_2_inhibitors__cyto
IFIT5,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_9684472_438 IFIT5__cyto
IFNAR2:JAK1:STAT2:type_space_1_space_interferon_space_analogs_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: type_space_1_space_interferon_space_analogs_unknown&""IFNAR2:JAK1:STAT2_complex""",entityVertex_9696161_651 IFNAR2_JAK1_STAT2_type_1_interferon_analogs__cyto
type_space_1_space_interferon_space_analogs_unknown,isDescribedBy,,True,,1,module=M1CaSQ-computed function: type_space_1_space_interferon_space_analogs_unknown,entityVertex_9696187_650 type_1_interferon_analogs__ext
